uid,label,subject,text
530,spam,NEOLINE X-COP 9000C видеорегистратор с радар-детектором,Характеристики  Neoline X-COP 9000c  &gt;&gt;&gt; 
131,spam,По поводу косметики,"Наш магазин продаёт косметику по уходу за лицом, телом и волосами. Сайт: http://art-kosmetics.ru"
729,spam,Detox коктейль для похудения.,"Detox - Выводит жиры даже из проблемных  зон  Ускоряет обмен веществ в 3-4 раза  Подтягивает кожу, устраняет целлюлит  &gt;&gt;&gt; "
656,spam,Реклама по РФ всего за 5000 руб.,"+7(499) 322-92-38  isendgeteml@gmail.com  Вам нужно больше заказов?!  Вы хотите привлечь новых клиентов?!  Тогда это письмо может быть Вам полезно!!!  Мы осуществляем e-mail рекламу по всей России!  От Вас понадобится только информация которую Вы хотите донести до потенциальных клиентов/партнеров, все остальное мы сделаем сами.  Мы найдем для Вас новых клиентов/партнеров по всей РФ, ведь в нашей базе содержится более 10 млн. уникальных адресатов юр. лиц.  Огромное количество компаний регулярно пользуются нашими услугами экономя свое время и бюджет.  Стоимость выхода рекламы по РФ,  на 10 млн. адресатов, всего 5000 руб.  УЗНАТЬ ПОДРОБНЕЕ  Почему именно мы?  У нас большая база актуальных адресатов по РФ (10 млн. уникальных контактов)  Самая выгодная цена за рекламу по РФ  Человек с любым знанием компьютера может обратиться к нам, мы настроим и проведем рекламную компанию от ""А"" до ""Я"".  Предоставим отчет по проделанной работе, а так же закрывающие документы.  Есть вопросы?!  Свяжитесь с нами:  Тел.: +7(499) 322-92-38  E-mail: isendgeteml@gmail.com  ПН-ПТ:  с 08:00 до 16:00  (время Московское)  Вы получили это письмо, потому что подписаны на информационную рекламу.  Если это письмо попало к Вам по ошибке нажмите пожалуйста отписаться. "
420,spam,Распродажа павлопосадских меховых платков зимнего сезона 2020/2021 (орикинал),"Распродажа меховых  платков  зимнего сезона -  2020/2021!  Павлопосадские  меховые платки &gt;&gt;  Оригинал  Быстрая доставка по всей России  БЕЗ ПРЕДОПЛАТЫ.  Перейти  в каталог &gt;&gt;  Высшее качество материала, уникальные  узоры,  максимум стиля и комфорта "
78,spam,Плед-подушка со скидкой,"Порадуй любимого человека  необычным и оригинальным подарком  Плед-хомячок - 3 в 1 - растопит любое  сердце!  Плед + Подушка + Мягкая игрушка  ""Хомячок"" :)  Размер пледа: 100x170 см; Материал  пледа - хлопок  При оформлении заказа на сайте получите  гарантированную СКИДКУ -50%!  Быстрая доставка по всей  России и Молдове БЕЗ ПРЕДОПЛАТЫ.  (По  Москве и Санкт-Петербургу - 2-3 часа)  Перейти в каталог хомячков  &gt;&gt;  Подарите  близким позитивные эмоции :) "
80,spam,Элитная парфюмерия 2020,"Качественные товары  брендовых  производителей.  Высокая стойкость ароматов,  держится более 24-х часов  &gt;&gt;&gt; "
430,spam,По поводу заказов,"Здравствуйте! Есть возможность отдавать Вам потенциальных клиентов для Вашей фирмы. Смогу скидывать телефоны потенциальных клиентов за 350 - 1000 рублей (в зависимости от клиента). Ежедневно по 2-4 клиента. Если клиенту - не удается связаться или захотел разговаривать - за за такие лиды - деньги возвращаю. Если Вам интересно - напишите мне в Ватсап или позвоните мне: 79254730096 Дмитрий Просьба большая - сегодня обязательно свяжитесь со мной, чтобы я не искал других партнеров."
754,spam,Libido Drive (196 руб) - раскроет весь сексуальный потенциал,Гарантированный эффект  уже через 2 недели  &gt;&gt;&gt; 
544,spam,Пульт сканер для ворот и шлагбаумов Unigate,позволяет  открывать любые шлагбаумы  на всех закрытых парковках  &gt;&gt;&gt; 
743,spam,Самоконтроль легочных и сердечно-сосудистых заболеваний,"Пульсоксиметр  Contact X1805 &gt;&gt;  для измерения уровня кислорода  в крови  Поможет быстро измерить  уровень кислорода в крови.  Значение  95% и более является нормальным  показателем  здорового человека.  Быстрое снижение показателя указывает на развитие  легочных либо сердечно-сосудистых заболеваний.  Измерит текущий пульс.  Подробные  характеристики &gt;&gt;  Использовать прибор можно в  медицинских учреждениях,  отделениях скорой помощи, больницах и  домашних условиях.  Contact X1805  имеет сертификат соответствия и качества.  Гарантия - 1  год.  Быстрая доставка по всей России,  Украине и Молдове  БЕЗ  ПРЕДОПЛАТЫ.  Остались  вопросы?  ЗАКАЖИТЕ БЕСПЛАТНЫЙ ОБРАТНЫЙ ЗВОНОК  &gt;&gt;  (просто  заполните форму заявки на сайте)  Наши консультанты  свяжутся с Вами в ближайшее время после получения  заявки. "
94,spam,Видеорегистратор Neoline X-COP 9200,"Устройство  совмещает в себе функции  видеорегистратора, радар-детектора  и  GPS-информатора &gt;&gt;&gt; "
199,spam,INVENTION Indexed Peer Reviewed International Journals,"INVENTION Journals   Best Indexed Peer Reviewed International Journals   Submit Your Paper  http://track.ghostme.info/index.php/campaigns/vw872392co741/track-url/zm405ke903428/51e88109d18bfecbc44829167e014a4384607276  Dear Author,  Sub: Publish paper in Best Impact Factor Journal   Invention Journals Indexing: Index Copernicus, Cross Ref (USA),  NASA ads, Citation Index, Google Scholar, Open- J Gate.  Invention Journals provides DOI (Digital Object Identifier) to each  article. Invention Journals DOI is 10.9790.  * Papers are invited  for Invention Journals December 2020 Issue related to all field  of Engineering, Management, Pharmacy, Applied Sciences,  Mathematics, Humanities and Social Science etc.  Invention Journals have following different open access Journals:  1.International Journal of Engineering and Science Invention   ISSN (Online) :2319-6734, ISSN (Print) :2319-6727  2.International Journal of Pharmaceutical Science Invention   ISSN (Online) :2319-6718, ISSN (Print) :2319-670X  3.International Journal of Business and Management Invention   ISSN (Online) :2319-8028, ISSN (Print) :2319-801X  4.International Journal of Humanities and Social Science Invention   ISSN (Online) :2319-7722, ISSN (Print)  :2319-7714  5.International Journal of Mathematics and Statistics Invention   ISSN (Online) :2321-4767, ISSN (Print) :2321-4759   Important Dates for December 2020 Issue  Last date of Paper Submission: 25 December 2020  Acknowledgement: within 24  hrs  Review Report:   within one or two weeks  Publication Date: 05 January 2021  Website: www.inventionjournals.org  http://track.ghostme.info/index.php/campaigns/vw872392co741/track-url/zm405ke903428/3ae7ffac7a03db02cb17e8839b38948eafce46a1  Email id: inventionjournals@invmails.com  http://track.ghostme.info/index.php/campaigns/vw872392co741/track-url/zm405ke903428/faafa7f12355973b2d355543e8d30dfa23aec06d  Hard copy will be dispatched within 7 days after online publication.  _With Warm Regards_  _Editor-In-Chief_  _INVENTION Journals_  http://track.ghostme.info/index.php/campaigns/vw872392co741/track-url/zm405ke903428/3ae7ffac7a03db02cb17e8839b38948eafce46a1  unsubscribe  http://track.ghostme.info/index.php/campaigns/vw872392co741/track-url/zm405ke903428/938d16c0ef8fd7764512ab73089b8c6a1bbf0ae6 "
285,spam,Мото-квадрокоптер 2в 1 - 1990 руб.,Мото-квадрокоптер Fly Drive 2 в  1 инновация в индустрии  игрушек  с  разными функциями и возможностями.  Квадрокоптер Fly Drive  совершает маневры в воздухе и взлетает на 60 метров.  Мотоцикл мчится по земле и легко  входит в самые крутые виражи.  Ребенок управляет собственным  трансформером при помощи движений рук.  Быстрая доставка по всей России  БЕЗ ПРЕДОПЛАТЫ.  Характеристики и комплектация  &gt;&gt;  Остались вопросы?  ЗАКАЖИТЕ БЕСПЛАТНЫЙ ОБРАТНЫЙ  ЗВОНОК &gt;&gt;  (просто  заполните форму заявки на сайте)  Наши консультанты  свяжутся с Вами в ближайшее время после получения  заявки. 
543,spam,Швабра с функцией мгновенного отжима,"Предложение актуально для  хозяек, владельцев офисов  и клининговых  компаний  Швабра Cleaner 360 с функцией  отжима  Предназначена для мытья любых  поверхностей  Складная конструкция с поворотом ручки на 360  Быстро  впитывает воду и задерживает грязь  Подробно &gt;&gt;  Быстрая доставка по  всей России и Украине БЕЗ  ПРЕДОПЛАТЫ.  Цена сейчас со скидкой  -50%!  (предложение ограничено).  RU: 1690  руб. UA: 790 грн.  Чистота - залог  здоровья! "
605,spam,POTENCIALEX - Капсулы для повышения потенции за 149 руб,POTENCIALEX НОВЫЕ ВОЗМОЖНОСТИ  ДЛЯ  УДОВОЛЬСТВИЯ &gt;&gt;&gt; 
415,spam,CAT S41 - Monster Truck супер защищенный смартфон,Специалисты CAT создали  линейку  смартфонов  для своих сотрудников  &gt;&gt;&gt; 
193,spam,"СИЗ: Маски от1,5р. Респираторы от 9 р. Пульсоксиметр от 1190р.","Информационное письмо 22 декабря 2020 г.  Предлагаем муниципальным и коммерческим организациям  средства индивидуальной защиты  Тел.: +7 (423) 202-54-15  Респираторы KN99 с клапаном, защита FFP3 от 40 руб. за шт.  Тест на определение антител COVID-19 Ag Test. 33 000 руб. за уп.  Клинически испытан. 20 тестов в упаковке.  Маски ДЕТСКИЕ трехслойные КНР. от 5 руб. за уп.  Маски одноразовые трехслойные от 1,5 руб. за шт.  из нетканого материала (производства КНР)  Маски медицинские (наличие РУ) от 1,6 руб. за шт.  Респираторы KN95 без клапана, степень защиты FFP2 от 8,0 руб. за шт  Респираторы KN95 с клапаном, степень защиты FFP2 от 12 руб. за шт  Перчатки синтетические (винил) (M, L, XL) от 16 руб. за пару  Перчатки синтетические (нитрил) (M, L, XL) от 20 руб. за пару  Экран защитный для лица, многоразового использования 100 руб. за шт  Термометр инфракрасный бесконтактный GP-300 от 900 руб. за шт.  Бактерицидный рециркулятор SUN 1 закрытого типа UV-A 14 000 руб. за шт.  (объём обеззараживания: 100 м3/час  Площадь обеззараживания: 30 м2)  Комбинезон химической защиты, ламинированный. 590 за шт.  Дезинфекция проходного типа.  С бесконтактным термометром и датчиком определения лиц. 350 000 руб. за шт.  Средства индивидуальной защиты  Тел.: +7 (423) 202-54-15, Сайт. "
397,spam,НИЦ МИСИ ПРИГЛАШАЕТ К ИЗДАНИЮ УЧЕБНЫХ ПОСОБИЙ И АВТОРСКИХ МОНОГРАФИЙ!,"ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКАЯ КОРПОРАЦИЯ НИЦ МИСИ  приглашает авторов к изданию учебных пособий и авторских монографий!  УЧЕБНЫЕ ПОСОБИЯ И АВТОРСКИЕ МОНОГРАФИИ ИЗДАЮТСЯ ТОЛЬКО НА ПЛАТНОЙ (КОММЕРЧЕСКОЙ) ОСНОВЕ!  ИЗДАНИЕ УЧЕБНЫХ ПОСОБИЙ  Учебные пособия издаются форматом А4/А5 в твердом/мягком переплете, полноцвет, хороший дизайн. Печать офсетная или цифровая на мелованной бумаге. Высокое качество печати цветных блоков. Рецензирование каждого учебного пособия осуществляется двумя ведущими учеными России или зарубежья, специалистами по теме монографии, докторами наук, профессорами.  На сегодняшний день мы предлагаем лучшие условия по изданию учебных пособий: это касается, прежде всего, качества издания, неограниченных возможностей по количеству издаваемых экземпляров и, конечно же, стоимости публикации.  В обязательном порядке текст электронного издания размещается в Научной электронной библиотеке eLIBRARY.RU и включается в РИНЦ.  ПОДРОБНЕЕ  АВТОРСКИЕ МОНОГРАФИИ  Монографии издаются форматом А4/А5 в твердом/мягком переплете, полноцвет, хороший дизайн. Печать офсетная или цифровая на мелованной бумаге. Высокое качество печати цветных блоков. Рецензирование каждой монографии осуществляется двумя ведущими учеными России или зарубежья, специалистами по теме монографии, докторами наук, профессорами.  Авторские монографии, издаваемые у нас, оформляются по требования ГОСТа, разработанным для учебной и образовательной литературы. В обязательном порядке текст электронного издания размещается в Научной электронной библиотеке eLIBRARY.RU и включается в РИНЦ.  ПОДРОБНЕЕ  ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКАЯ КОРПОРАЦИЯ НИЦ МИСИ  ПРИЕМ ЗАКАЗОВ ОСУЩЕСТВЛЯЕТСЯ ТОЛЬКО НА ДАННУЮ ПОЧТУ!  infonicmisi@gmail.com  Вы получили это письмо на электронный адрес, так как являетесь нашим клиентом!  Если Вы не хотите больше получать наши письма, просто перейдите по ссылке отписаться от рассылок  Вы получили это письмо, потому что выразили свое согласие получать сообщения от ""ООО ""НТЦ МИФИ"""".  Если Вы хотите отказаться от получения писем, нажмите здесь. "
454,spam,Libido Drive (196 руб) - раскроет весь сексуальный потенциал,Гарантированный эффект  уже через 2 недели  &gt;&gt;&gt; 
304,spam,Приготовление мясных и рыбных блюд,Домашняя  ветчинница Деликатес &gt;&gt;  Уникальное приспособление  для приготовления полезных и вкусных  домашних колбас и деликатесов  из мяса собственными руками.  Изготовлена из качественной  нержавеющей стали и имеет 2 яруса  для закладывания продуктов. Поможет  хозяйкам поразить гостей и  семью нежным вкусом  лучших мясных и рыбных блюд.  Подробно  &gt;&gt;  Быстрая доставка по всей  России БЕЗ ПРЕДОПЛАТЫ.  При  оформлении заказа  на сайте - СКИДКА -53%!  Приятного  аппетита! 
306,spam,Пульсоксиметр для измерения уровня кислорода в крови,Поможет быстро измерить  уровень кислорода в  крови.  Так же покажет текущий пульс.  &gt;&gt;&gt; 
534,spam,ХОРОШИЕ НОВОСТИ,"Уважаемый владелец электронной почты / получатель средств!  Я отправил вам это письмо месяц назад, но я не получил от вас вестей, я  Не уверен, что вы это поняли, и поэтому я повторяю это еще раз. Во-первых,  я г-жа Кристалина Георгиева, нынешний управляющий директор и председатель  Международного валютного фонда.  Действительно, Мы рассмотрели все препятствия и проблемы, связанные с вашей  незавершенной транзакцией и вашей неспособностью встретить плату за  перевод, взимаемую с вас за предыдущие варианты перевода, просмотрите наш  сайт для вашего подтверждения 38 5356 N 77 2 39 з.д.  Мы, Совет директоров Всемирного банка и Международного валютного фонда  (МВФ), Вашингтон, округ Колумбия, совместно с Министерством финансов США и  некоторыми другими соответствующими следственными агентствами здесь, в  Соединенных Штатах Америки. приказал нашему отделу денежных переводов  United Bank of Africa Lome Togo выдать вам карту VISA, на которую будет  загружен ваш фонд в размере 1.500.000.00 долларов США для дальнейшего  вывода вашего фонда.  В ходе нашего расследования мы с тревогой обнаружили, что ваш платеж был  необоснованно задержан коррумпированными должностными лицами Банка, которые  пытаются перевести ваши средства на свои личные счета.  И сегодня мы сообщаем вам, что ваш фонд был зачислен на карту VISA банком  UBA и также готов к отправке. Теперь свяжитесь с секретарем банка UBA, его  имя ........... Миссис Вивиан Фрэнсис  Адрес электронной почты ..............  www.info.unitedbankofafrica31@gmail.com  Отправьте ей следующую информацию для доставки вашей аккредитованной карты  ATM VISA Card на ваш адрес.  Ваше полное имя =======================  Ваша страна происхождения ==================  Ваш домашний адрес ===================  Адрес электронной почты =======================  Ваш номер телефона ===================  Ваш возраст =========================  Ваш секс =========================  Искренне,  Г-жа Кристалина Георгиева "
381,spam,Средство для похудения KETO LIGHT за 99 руб,ТЫСЯЧИ ЖЕНЩИН ВЕРНУЛИ СЕБЕ  ЗДОРОВЬЕ И  СТРОЙНОСТЬ &gt;&gt;&gt; 
560,spam,Размер имеет значение,"Превратите Ваш секс в непрерывный  экстаз!  Одна шипучая  таблетка Extra Extaz и член  увеличится  в объёме на 5 см за 5  минут  Смотреть подробно  &gt;&gt;  Быстрая анонимная  доставка по всей России, Украине, Молдове, Беларуси и Грузии  БЕЗ  ПРЕДОПЛАТЫ.  Чтобы получить  бесплатную консультацию специалиста  ЗАКАЖИТЕ БЕСПЛАТНЫЙ ОБРАТНЫЙ ЗВОНОК  СЕЙЧАС &gt;&gt;  (просто заполните форму  заявки)  Наши специалисты свяжутся с вами в ближайшее время после  получения заявки "
174,spam,Детский планшет для рисования светящихся рисунков,"Лучшая игрушка для  маленьких непосед. Совершенно новый подход к  рисованию  Лучший способ развивать  навыки рисования, фантазию и интеллект  Планшет Magic  Pad для рисования светящихся рисунков  При оформлении заказа на  сайте получите гарантированную СКИДКУ  -53%!  Быстрая доставка по всей России БЕЗ  ПРЕДОПЛАТЫ.  Смотреть подробно  &gt;&gt;  Чтобы  оформить заказ со скидкой -53% и получить доп.  информацию  ЗАКАЖИТЕ БЕСПЛАТНЫЙ ОБРАТНЫЙ ЗВОНОК  ПРЯМО СЕЙЧАС &gt;&gt;  (просто заполните  форму заявки на сайте)  Наши консультанты свяжутся с Вами в ближайшее  время после получения заявки. "
110,spam,SUMMA2020 Proceedings in Xplore digital library,"=====================Russian text is below==========================   Dear participants, we are very pleased to inform you that the Proceedings of the 2020 2nd International Conference on Control Systems, Mathematical Modelling, Automation and Energy Efficiency (SUMMA) is available now in IEEE Xplore digital library under the link https://ieeexplore.ieee.org/xpl/conhome/9280506/proceeding (https://ieeexplore.ieee.org/xpl/conhome/9280506/proceeding) We wish you a happy New Year and hope to meet you next year in Lipetsk! Yours faithfully, Organizing Committee ================================================================   Уважаемые участники, мы рады сообщить вам, что сборник трудов конференции SUMMA2020 доступен в электронной библиотеке IEEE Xplore. Вы можете найти его по ссылке https://ieeexplore.ieee.org/xpl/conhome/9280506/proceeding (https://ieeexplore.ieee.org/xpl/conhome/9280506/proceeding) Поздравляем вас с наступающим Новым годом и надеемся встретиться с вами в следующем году в Липецке! С уважением, Организационный комитет  Our web-site https://summa.stu.lipetsk.ru (https://summa.stu.lipetsk.ru/) "
